job_title,company,location,detected_job_role,skill_match_percentage,matched_skills,role_skill_gaps,exact_role_match,final_precise_score,redirect_url,latitude,longitude,company_address
IT Infrastructure Specialist (Linux),Colt Technology Services,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5785772754?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=838BF859DAD182AA280D5FF077CC6839C936AC06,12.95703,77.59837,"India, Karnataka, Bangalore"
Inside Sales,Onsurity,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5831966274?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D59B363E40542E99E20C0242600FA7D07F714517,,,"India, Karnataka, Bangalore"
Integrated Media Planner (2-4 Years),Omnicom Global Solutions,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5812352039?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=99BD18A6523F9E8602AF30BA084496F7ABF56468,,,"India, Karnataka, Bangalore"
Intern - Inside Sales,greytHR,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5819622173?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D1814A3881EDF8A8E081E096B17F1A322FD36130,,,"India, Karnataka, Bangalore"
Key Account Manager (Ads Business),Navi,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5822233089?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=C2EFACBF9D58774418BEB6F3913F5A95FCCA7129,,,"India, Karnataka, Bangalore"
Key Accounts Manager – Car Rental Operations | Bengaluru,Eminent Transit | Leading Corporate Travel Management Company,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5801395184?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=38438A8B27AEEDEB5A1236F65139E9C4A94C76E5,,,"India, Karnataka, Bangalore"
Product Support Analyst,SteelEye,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5812612762?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=E6B0EEE87F2057EEDDF88CC8C08A1F53ED5168B1,,,"India, Karnataka, Bangalore"
Programmatic Performance Specialist,Adprime,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5820158611?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=C4DD0C14CAD15529F4128F8F70922F58473D4A27,,,"India, Karnataka, Bangalore"
Project Manager,"MaxVal Group, Inc.","Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5834572473?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=FB677266BD5DE13703A8AB253DC657522E7F59A3,,,"India, Karnataka, Bangalore"
Regional Manager - Sales,ARK Infosolutions Pvt. Ltd.,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5818524551?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=29F11D8D07F7069922A520E9AD81136B8A3A89D3,,,"India, Karnataka, Bangalore"
SF Compensation Technical Consultant,Colt Technology Services,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5785771300?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=31A7CF20B57C3483499AE15EFEB5F82B3107E064,12.95703,77.59837,"India, Karnataka, Bangalore"
Sales Agent (DMC Experiences Required),CÔNG TY TNHH VN BIKE TOUR,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5785411099?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=39EA1AF122B5E3731A95BA8BB74A4C318289AFCC,,,"India, Karnataka, Bangalore"
Senior Finance Associate,Pixis,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5820158161?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=05C4140F604146D2F3CBF332A2BFD009C5F3FBBB,,,"India, Karnataka, Bangalore"
Senior Interior Designer,Livspace,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5810846194?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=3877D3CC6F4EE5F8C02D0840F2914B508DFA3079,,,"India, Karnataka, Bangalore"
Senior Lead - Operational Excellence,Page Industries Ltd,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5818524931?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=555E42703C13E740C5F0A3DA651EC056881E3787,,,"India, Karnataka, Bangalore"
"Senior Manager, GBS Global Planning and Performance Management FP&A",Kraft Heinz,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5820906205?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=4A7E34222EA2CC0DD4C8CB674F08CE1C69E29581,12.95703,77.59837,"India, Karnataka, Bangalore"
Strength And Conditioning Coach,Curefit,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5820964079?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=20038FD842B3A0E3313FD8DE5AA0C5E3DD53109D,,,"India, Karnataka, Bangalore"
Subject Matter Expert - Clinical Team,Triomics,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5808332684?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=073AF42037D056B4717AD35E1D9B6F8FC00F2A9C,,,"India, Karnataka, Bangalore"
Subject Matter Expert - Motor Claims,Navi,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5821438362?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D74BC6CFA3533175A34317F89C2CEE8245CBAFF2,,,"India, Karnataka, Bangalore"
Team Lead,TP,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5813878167?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=4163F5EA7D04FF3FF4E3CCD49598FA1589DFE714,,,"India, Karnataka, Bangalore"
Walk in Drive For Credit Analyst on 23rd July at Bangalore,Infosys BPM,"Bangalore, Karnataka",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5810845527?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=1B396CF40D970D586B9398806696DE5FDB676888,,,"India, Karnataka, Bangalore"
Alliance Manager,TECEZE,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5806140349?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=B033C500FAEEE7FB88AC812300F77CFAD67B6246,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Associate Manager - Indirect Taxation,Pfizer,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5785771513?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=AF6D47C5C5728C56587E554479580939AEEC9961,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Automotive Interior/Lighting Designer,Satyam Venture Engineering Services,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5829374248?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=63F1551B929B4F9205E9A09DC91ADCAF0FA7CF69,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Channel Sales Lead,Reliance Jio Infocomm Limited,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5836625247?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=FE180B7A99A8993A4EE22971FB6A6E6CD1576AF9,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Commis I / II / III – Corporate Cafeteria Kitchen | Chennai,FOOD TECH COMPANY,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5822232461?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=586C91985F218370902CA34A87DA525E41E62E80,13.06041,80.24963,"India, Tamil Nadu, Chennai"
